trade_id,label,ticker,city,target_date,bracket_human,calibrated_p,yes_price,ensemble_mean,climo_mean,outcome,profit_loss,winner,expected,current,new
105,,KXHIGHTSFO-26APR24-B64.5,SF,2026-04-25,between 64°F and 65°F,0.1,0.26,64.5,64,no,0.73,True,,VETO,PASS
104,,KXHIGHLAX-26APR25-B66.5,LA,2026-04-26,between 66°F and 67°F,0.1,0.24,66.5,73,yes,-2.32,False,,VETO,PASS
103,,KXHIGHTSFO-26APR24-B64.5,SF,2026-04-25,between 64°F and 65°F,0.1,0.26,64.5,64,no,0.73,True,,VETO,PASS
106,,KXHIGHLAX-26APR25-B66.5,LA,2026-04-26,between 66°F and 67°F,0.1,0.24,66.5,73,yes,-2.32,False,,VETO,PASS
107,,KXHIGHCHI-26APR24-B76.5,Chicago,2026-04-25,between 76°F and 77°F,0.1,0.26,76.5,60,no,0.24,True,,VETO,PASS
108,,KXHIGHNY-26APR25-T51,NYC,2026-04-26,above 51°F,0.1,0.28,48.032612813780176,62,yes,-0.74,False,,VETO,PASS
109,,KXHIGHMIA-26APR25-B85.5,Miami,2026-04-26,between 85°F and 86°F,0.1,0.26,85.5,84,yes,-0.76,False,,VETO,PASS
110,,KXHIGHMIA-26APR25-B83.5,Miami,2026-04-26,between 83°F and 84°F,0.1,0.31999999999999995,83.5,84,no,0.91,True,,VETO,PASS
111,,KXHIGHNY-26APR25-T51,NYC,2026-04-26,above 51°F,0.1,0.21999999999999997,48.032612813780176,62,yes,-0.8,False,,VETO,PASS
112,,KXHIGHNY-26APR24-B64.5,NYC,2026-04-25,between 64°F and 65°F,0.1,0.41000000000000003,64.5,62,no,0.39,True,,VETO,PASS
113,,KXHIGHNY-26APR24-B64.5,NYC,2026-04-25,between 64°F and 65°F,0.1,0.41000000000000003,64.5,62,no,0.39,True,,VETO,PASS
114,,KXHIGHLAX-26APR24-B74.5,LA,2026-04-25,between 74°F and 75°F,0.1,0.8200000000000001,74.5,73,yes,-0.2,False,,VETO,PASS
116,,KXHIGHMIA-26APR25-B83.5,Miami,2026-04-26,between 83°F and 84°F,0.1,0.31999999999999995,83.5,84,no,0.91,True,,VETO,PASS
115,,KXHIGHMIA-26APR24-T78,Miami,2026-04-25,above 78°F,0.1,0.47,76.34247447283977,84,no,0.45,True,,VETO,PASS
117,,KXHIGHLAX-26APR24-B74.5,LA,2026-04-25,between 74°F and 75°F,0.1,0.8,74.5,73,yes,-2.75,False,,VETO,PASS
118,,KXHIGHMIA-26APR25-B83.5,Miami,2026-04-26,between 83°F and 84°F,0.1,0.31999999999999995,83.5,84,no,0.91,True,,VETO,PASS
119,,KXHIGHLAX-26APR25-B66.5,LA,2026-04-26,between 66°F and 67°F,0.1,0.24,66.5,73,yes,-2.32,False,,VETO,PASS
121,,KXHIGHDEN-26APR24-B67.5,Denver,2026-04-25,between 67°F and 68°F,0.1,0.4,67.5,62,no,1.53,True,,VETO,PASS
123,,KXHIGHLAX-26APR25-B62.5,LA,2026-04-26,between 62°F and 63°F,0.1,0.35,62.5,73,no,1.33,True,,VETO,UNCERTAIN
122,,KXHIGHTPHX-26APR25-T84,Phoenix,2026-04-26,above 84°F,0.1,0.63,83.8788969716377,86,no,4.29,True,,VETO,PASS
120,,KXHIGHTDAL-26APR25-T91,Dallas,2026-04-26,above 91°F,0.1,0.22999999999999998,91.1211030283623,77,no,0.65,True,,VETO,PASS
125,,KXHIGHCHI-26APR25-T56,Chicago,2026-04-26,above 56°F,0.1,0.32999999999999996,56.0,60,no,0.94,True,,VETO,PASS
126,,KXHIGHPHIL-26APR26-T49,Philadelphia,2026-04-27,above 49°F,0.1,0.24,49.0,64,no,0.22,True,,VETO,PASS
127,,KXHIGHDEN-26APR25-B59.5,Denver,2026-04-26,between 59°F and 60°F,0.1,0.20999999999999996,59.5,62,no,0.19,True,,VETO,PASS
137,,KXHIGHMIA-26APR27-B87.5,Miami,2026-04-28,between 87°F and 88°F,0.1,0.51,87.5,84,yes,-2.54,False,,VETO,PASS
138,,KXHIGHTBOS-26APR27-T57,Boston,2026-04-28,above 57°F,0.1,0.32999999999999996,57.610285416892495,56,no,1.25,True,,VETO,PASS
141,,KXHIGHLAX-26APR27-B66.5,LA,2026-04-28,between 66°F and 67°F,0.1,0.45999999999999996,66.5,73,yes,-2.79,False,,VETO,PASS
136,,KXHIGHTPHX-26APR27-B82.5,Phoenix,2026-04-28,between 82°F and 83°F,0.1,0.53,82.5,86,yes,-2.93,False,,VETO,PASS
139,,KXHIGHCHI-26APR27-T71,Chicago,2026-04-28,above 71°F,0.1,0.49,70.8788969716377,60,yes,-2.64,False,,VETO,PASS
145,,KXHIGHTHOU-26APR27-B89.5,Houston,2026-04-28,between 89°F and 90°F,0.1,0.41000000000000003,89.5,80,no,1.96,True,,VETO,PASS
142,,KXHIGHPHIL-26APR27-B70.5,Philadelphia,2026-04-28,between 70°F and 71°F,0.1,0.38,70.5,64,no,1.45,True,,VETO,PASS
146,,KXHIGHTBOS-26APR27-B59.5,Boston,2026-04-28,between 59°F and 60°F,0.1,0.18999999999999995,59.5,56,no,0.53,True,,VETO,PASS
150,,KXHIGHDEN-26APR27-B57.5,Denver,2026-04-28,between 57°F and 58°F,0.1,0.45999999999999996,57.5,62,no,2.21,True,,VETO,PASS
147,,KXHIGHNY-26APR27-B66.5,NYC,2026-04-28,between 66°F and 67°F,0.1,0.47,66.5,62,no,2.26,True,,VETO,PASS
148,,KXHIGHMIA-26APR27-T88,Miami,2026-04-28,above 88°F,0.1,0.24,88.0,84,no,0.9,True,,VETO,PASS
153,,KXHIGHTSFO-26APR27-B64.5,SF,2026-04-28,between 64°F and 65°F,0.1,0.22999999999999998,64.5,64,no,0.65,True,,VETO,PASS
154,,KXHIGHTBOS-26APR28-T55,Boston,2026-04-29,above 55°F,0.5946,0.34,55.71818052500044,56,yes,5.15,True,,VETO,PASS
151,,KXHIGHTDAL-26APR27-T88,Dallas,2026-04-28,above 88°F,0.1,0.43999999999999995,88.0,77,no,2.11,True,,VETO,PASS
152,,KXHIGHTBOS-26APR27-B61.5,Boston,2026-04-28,between 61°F and 62°F,0.1,0.22999999999999998,61.5,56,no,0.65,True,,VETO,PASS
155,,KXHIGHTATL-26APR27-T77,Atlanta,2026-04-28,above 77°F,0.6757,0.26,78.36712386743073,73,yes,7.99,True,,VETO,PASS
156,,KXHIGHLAX-26APR27-T69,LA,2026-04-28,above 69°F,0.0811,0.27,64.80688139973776,73,no,0.51,True,,VETO,PASS
157,,KXHIGHCHI-26APR28-T60,Chicago,2026-04-29,above 60°F,0.0811,0.36,55.806881399737755,60,no,0.34,True,,VETO,PASS
158,,KXHIGHLAX-26APR28-T64,LA,2026-04-29,above 64°F,0.0811,0.27,59.806881399737755,73,no,0.76,True,,VETO,PASS
159,,KXHIGHPHIL-26APR28-T66,Philadelphia,2026-04-29,above 66°F,0.7297,0.3,67.83571765438622,64,yes,6.16,True,,VETO,PASS
160,,KXHIGHPHIL-26APR29-T64,Philadelphia,2026-04-30,above 64°F,0.4865,0.16,63.89846217202956,64,no,-3.39,False,,VETO,PASS
163,,KXHIGHMIA-26APR28-T80,Miami,2026-04-29,above 80°F,0.0811,0.22999999999999998,75.80688139973776,84,no,0.21,True,,VETO,UNCERTAIN
161,,KXHIGHTBOS-26APR29-T55,Boston,2026-04-30,above 55°F,0.2703,0.65,53.164282345613785,56,yes,-2.93,False,,VETO,PASS
162,,KXHIGHNY-26APR28-T66,NYC,2026-04-29,above 66°F,0.4324,0.75,65.48919853660514,62,no,8.84,True,,VETO,PASS
164,,KXHIGHLAX-26APR29-T66,LA,2026-04-30,above 66°F,0.0811,0.31000000000000005,61.806881399737755,73,no,0.59,True,,VETO,PASS
165,,KXHIGHAUS-26APR29-T83,Austin,2026-04-30,above 83°F,0.3784,0.69,82.0709429856107,80,yes,-3.25,False,,VETO,PASS
168,,KXHIGHDEN-26APR30-T49,Denver,2026-05-01,above 49°F,0.9189,0.27,53.193118600262245,71,no,-4.55,False,,VETO,PASS
166,,KXHIGHCHI-26APR29-T54,Chicago,2026-04-30,above 54°F,0.2162,0.37,51.64473038696879,60,no,1.41,True,,VETO,PASS
167,,KXHIGHMIA-26APR29-T81,Miami,2026-04-30,above 81°F,0.0811,0.18999999999999995,76.80688139973776,84,no,0.53,True,,VETO,PASS
170,,KXHIGHTBOS-26APR30-T54,Boston,2026-05-01,above 54°F,0.4054,0.6599999999999999,53.28181947499956,67,no,7.73,True,,VETO,PASS
171,,KXHIGHTSFO-26MAY01-T71,SF,2026-05-02,above 71°F,0.7297,0.51,72.83571765438622,65,no,-4.22,False,,VETO,PASS
169,,KXHIGHCHI-26MAY01-T48,Chicago,2026-05-02,above 48°F,0.2432,0.5700000000000001,45.9118627119729,70,no,5.52,True,,VETO,PASS
176,,KXHIGHTDAL-26MAY01-T58,Dallas,2026-05-02,above 58°F,0.0811,0.47,53.806881399737755,84,no,3.62,True,,VETO,VETO
177,,KXHIGHAUS-26APR30-T76,Austin,2026-05-01,above 76°F,0.5405,0.75,76.30508035340463,87,yes,-4.22,False,,VETO,VETO
172,,KXHIGHNY-26APR30-T61,NYC,2026-05-01,above 61°F,0.1351,0.26,57.69219374588533,72,yes,-3.77,False,,VETO,PASS
180,,KXHIGHLAX-26MAY01-T75,LA,2026-05-02,above 75°F,0.0811,0.6799999999999999,70.80688139973776,74,no,0.66,True,,VETO,PASS
181,,KXHIGHMIA-26APR30-T83,Miami,2026-05-01,above 83°F,0.0811,0.5700000000000001,78.80688139973776,87,no,1.1,True,,VETO,UNCERTAIN
182,,KXHIGHDEN-26APR30-T42,Denver,2026-05-01,above 42°F,0.0811,0.99,37.806881399737755,71,no,4.94,True,,VETO,VETO
179,,KXHIGHDEN-26MAY01-T56,Denver,2026-05-02,above 56°F,0.0811,0.42000000000000004,51.806881399737755,71,no,0.8,True,,VETO,PASS
178,,KXHIGHLAX-26MAY01-T68,LA,2026-05-02,above 68°F,0.0811,0.29000000000000004,63.806881399737755,74,no,1.65,True,,VETO,PASS
183,,KXHIGHDEN-26MAY01-T63,Denver,2026-05-02,above 63°F,0.1081,0.76,59.289912938655085,71,no,0.74,True,,VETO,PASS
184,,KXHIGHPHIL-26MAY01-T63,Philadelphia,2026-05-02,above 63°F,0.4054,0.6699999999999999,62.28181947499956,74,no,1.3,True,,VETO,PASS
186,,KXHIGHTATL-26MAY01-T67,Atlanta,2026-05-02,above 67°F,0.2162,0.47,64.64473038696879,80,yes,-2.74,False,,VETO,PASS
185,,KXHIGHTSEA-26MAY01-T68,Seattle,2026-05-02,above 68°F,0.0811,0.47,63.806881399737755,65,no,2.26,True,,VETO,PASS
187,,KXHIGHTHOU-26MAY01-T70,Houston,2026-05-02,above 70°F,0.0811,0.21999999999999997,65.80688139973776,86,yes,-0.8,False,,VETO,VETO
190,,KXHIGHTSEA-26MAY01-T75,Seattle,2026-05-02,above 75°F,0.6216,0.51,75.92905701438931,65,no,-4.75,False,,PASS,PASS
188,,KXHIGHTDAL-26MAY01-T65,Dallas,2026-05-02,above 65°F,0.4865,0.29,64.89846217202957,84,yes,3.47,True,,VETO,VETO
191,,KXHIGHMIA-26MAY02-T87,Miami,2026-05-03,above 87°F,0.1351,0.32999999999999996,83.69219374588533,87,no,2.83,True,,VETO,PASS
192,,KXHIGHCHI-26MAY02-T51,Chicago,2026-05-03,above 51°F,0.4865,0.21,50.89846217202956,70,no,-6.43,False,,VETO,PASS
189,,KXHIGHAUS-26MAY01-T65,Austin,2026-05-02,above 65°F,0.4054,0.8,64.28181947499957,87,yes,-5.92,False,,VETO,VETO
198,,KXHIGHTHOU-26MAY02-T79,Houston,2026-05-03,above 79°F,0.9189,0.72,83.19311860026224,86,no,-3.68,False,,VETO,PASS
193,,KXHIGHDEN-26MAY02-T74,Denver,2026-05-03,above 74°F,0.0811,0.49,69.80688139973776,71,no,4.72,True,,VETO,PASS
199,,KXHIGHTDAL-26MAY02-T78,Dallas,2026-05-03,above 78°F,0.9189,0.71,82.19311860026224,84,no,-2.9,False,,VETO,PASS
194,,KXHIGHTATL-26MAY02-T68,Atlanta,2026-05-03,above 68°F,0.8919,0.51,71.71008706134492,80,yes,4.72,True,,VETO,PASS
,PLAUSIBLE_normal,,NYC,2026-05-15,above 70°F,0.5,0.5,75,72,,,,PASS,VETO,PASS
,PLAUSIBLE_phx_summer,,Phoenix,2026-07-15,above 100°F,0.5,0.5,105,106,,,,PASS,VETO,PASS
,PLAUSIBLE_mia_winter,,Miami,2026-01-15,above 75°F,0.5,0.5,78,76,,,,PASS,VETO,PASS
,PLAUSIBLE_chi_spring,,Chicago,2026-03-15,between 45°F and 50°F,0.5,0.5,47,47,,,,PASS,PASS,PASS
,PLAUSIBLE_bos_fall,,Boston,2026-11-15,below 60°F,0.5,0.5,50,52,,,,PASS,VETO,PASS
,PLAUSIBLE_sea_winter,,Seattle,2026-01-15,above 45°F,0.5,0.5,47,48,,,,PASS,VETO,PASS
,PLAUSIBLE_dal_spring,,Dallas,2026-04-15,above 75°F,0.5,0.5,78,77,,,,PASS,PASS,PASS
,PLAUSIBLE_den_winter,,Denver,2026-12-15,above 40°F,0.5,0.5,45,44,,,,PASS,VETO,PASS
,PLAUSIBLE_hou_summer,,Houston,2026-08-15,above 90°F,0.5,0.5,95,94,,,,PASS,VETO,PASS
,BAD_phx_summer_freezing,,Phoenix,2026-07-15,above 30°F,0.5,0.5,35,106,,,,VETO,VETO,VETO
,BAD_mia_summer_freezing,,Miami,2026-07-15,above 25°F,0.5,0.5,30,91,,,,VETO,VETO,VETO
,PLAUSIBLE_la_summer,,LA,2026-06-15,above 75°F,0.5,0.5,78,78,,,,PASS,PASS,PASS
,BAD_implausible_high,,Boston,2026-04-15,above 125°F,0.5,0.5,130,56,,,,VETO,VETO,VETO
,BAD_extreme_cold_unusual,,Chicago,2026-01-15,below -10°F,0.5,0.5,-20,32,,,,VETO,VETO,PASS
,BAD_nyc_winter_heatwave,,NYC,2026-01-15,above 100°F,0.5,0.5,105,40,,,,VETO,VETO,VETO
,BAD_atl_summer_too_hot,,Atlanta,2026-06-15,above 105°F,0.5,0.5,110,87,,,,VETO,VETO,VETO
,BAD_den_summer_freezing,,Denver,2026-08-15,above 20°F,0.5,0.5,25,87,,,,VETO,PASS,VETO
,BAD_implausible_extreme,,Seattle,2026-07-15,above 145°F,0.5,0.5,150,76,,,,VETO,VETO,VETO
,BAD_la_arctic,,LA,2026-01-15,above 0°F,0.5,0.5,5,68,,,,VETO,VETO,VETO
,BAD_hou_winter_heatwave,,Houston,2026-12-15,above 95°F,0.5,0.5,100,65,,,,VETO,VETO,VETO
